iter	Passed	Remaining
838	2030	389
839	2032	387
840	2034	384
841	2037	382
842	2038	379
843	2040	377
844	2042	374
845	2043	372
846	2045	369
847	2047	366
848	2049	364
849	2051	361
850	2052	359
851	2054	356
852	2055	354
853	2057	351
854	2059	349
855	2060	346
856	2063	344
857	2064	341
858	2066	339
859	2068	336
860	2070	334
861	2071	331
862	2073	329
863	2075	326
864	2077	324
865	2078	321
866	2080	319
867	2082	316
868	2084	314
869	2085	311
870	2087	309
871	2089	306
872	2090	304
873	2092	301
874	2094	299
875	2096	296
876	2097	294
877	2099	291
878	2100	289
879	2102	286
880	2104	284
881	2105	281
882	2107	279
883	2109	276
884	2111	274
885	2112	271
886	2114	269
887	2115	266
888	2117	264
889	2118	261
890	2120	259
891	2122	256
892	2124	254
893	2125	252
894	2127	249
895	2128	247
896	2130	244
897	2131	242
898	2133	239
899	2135	237
900	2138	234
901	2140	232
902	2141	230
903	2142	227
904	2144	225
905	2146	222
906	2148	220
907	2149	217
908	2152	215
909	2153	213
910	2155	210
911	2157	208
912	2158	205
913	2160	203
914	2162	200
915	2163	198
916	2165	196
917	2167	193
918	2168	191
919	2170	188
920	2172	186
921	2173	183
922	2175	181
923	2176	179
924	2178	176
925	2179	174
926	2181	171
927	2183	169
928	2184	166
929	2186	164
930	2188	162
931	2189	159
932	2190	157
933	2192	154
934	2193	152
935	2195	150
936	2197	147
937	2198	145
938	2200	142
939	2202	140
940	2203	138
941	2205	135
942	2206	133
943	2208	130
944	2209	128
945	2211	126
946	2213	123
947	2215	121
948	2216	119
949	2218	116
950	2220	114
951	2222	112
952	2224	109
953	2226	107
954	2228	104
955	2229	102
956	2231	100
957	2233	97
958	2234	95
959	2236	93
960	2238	90
961	2240	88
962	2242	86
963	2243	83
964	2245	81
965	2246	79
966	2248	76
967	2249	74
968	2251	72
969	2252	69
970	2255	67
971	2256	65
972	2258	62
973	2260	60
974	2261	57
975	2263	55
976	2264	53
977	2265	50
978	2267	48
979	2269	46
980	2271	43
981	2273	41
982	2274	39
983	2276	37
984	2277	34
985	2279	32
986	2280	30
987	2282	27
988	2284	25
989	2286	23
990	2287	20
991	2289	18
992	2290	16
993	2292	13
994	2293	11
995	2295	9
996	2296	6
997	2298	4
998	2300	2
999	2301	0
